time            Cj              shCj           
8.216432866e+02 4.278421213e-01 4.278421213e-01
8.236472946e+02 4.270318009e-01 4.270318009e-01
8.256513026e+02 4.262245442e-01 4.262245442e-01
8.276553106e+02 4.254203339e-01 4.254203339e-01
8.296593186e+02 4.246191527e-01 4.246191527e-01
8.316633267e+02 4.238209832e-01 4.238209832e-01
8.336673347e+02 4.230258087e-01 4.230258087e-01
8.356713427e+02 4.222336120e-01 4.222336120e-01
8.376753507e+02 4.214443766e-01 4.214443766e-01
8.396793587e+02 4.206580858e-01 4.206580858e-01
8.416833667e+02 4.198747232e-01 4.198747232e-01
8.436873747e+02 4.190942727e-01 4.190942727e-01
8.456913828e+02 4.183167180e-01 4.183167180e-01
8.476953908e+02 4.175420433e-01 4.175420433e-01
8.496993988e+02 4.167702326e-01 4.167702326e-01
8.517034068e+02 4.160012704e-01 4.160012704e-01
8.537074148e+02 4.152351408e-01 4.152351408e-01
8.557114228e+02 4.144718284e-01 4.144718284e-01
8.577154309e+02 4.137113176e-01 4.137113176e-01
8.597194389e+02 4.129535931e-01 4.129535931e-01
8.617234469e+02 4.121986398e-01 4.121986398e-01
8.637274549e+02 4.114464426e-01 4.114464426e-01
8.657314629e+02 4.106969866e-01 4.106969866e-01
8.677354709e+02 4.099502564e-01 4.099502564e-01
8.697394790e+02 4.092062370e-01 4.092062370e-01
8.717434870e+02 4.084649136e-01 4.084649136e-01
8.737474950e+02 4.077262712e-01 4.077262712e-01
8.757515030e+02 4.069902952e-01 4.069902952e-01
8.777555110e+02 4.062569650e-01 4.062569650e-01
8.797595190e+02 4.055262812e-01 4.055262812e-01
8.817635271e+02 4.047982192e-01 4.047982192e-01
8.837675351e+02 4.040727652e-01 4.040727652e-01
8.857715431e+02 4.033499054e-01 4.033499054e-01
8.877755511e+02 4.026296260e-01 4.026296260e-01
8.897795591e+02 4.019119133e-01 4.019119133e-01
8.917835671e+02 4.011967540e-01 4.011967540e-01
8.937875752e+02 4.004841363e-01 4.004841363e-01
8.957915832e+02 3.997740475e-01 3.997740475e-01
8.977955912e+02 3.990664738e-01 3.990664738e-01
8.997995992e+02 3.983614011e-01 3.983614011e-01
9.018036072e+02 3.976588156e-01 3.976588156e-01
9.038076152e+02 3.969587040e-01 3.969587040e-01
9.058116232e+02 3.962610531e-01 3.962610531e-01
9.078156313e+02 3.955658495e-01 3.955658495e-01
