time            Cj              Ck              Br             
1.683366733e+03 4.284646824e+00 2.501480122e+00 2.113725807e-01
1.689378758e+03 4.285512859e+00 2.502953132e+00 2.087397224e-01
1.695390782e+03 4.286368606e+00 2.504408091e+00 2.061387969e-01
1.701402806e+03 4.287214178e+00 2.505845213e+00 2.035694368e-01
1.707414830e+03 4.288049685e+00 2.507264707e+00 2.010312797e-01
1.713426854e+03 4.288875239e+00 2.508666780e+00 1.985239681e-01
1.719438878e+03 4.289690948e+00 2.510051635e+00 1.960471470e-01
1.725450902e+03 4.290496920e+00 2.511419477e+00 1.936004654e-01
1.731462926e+03 4.291293265e+00 2.512770505e+00 1.911835757e-01
1.737474950e+03 4.292080087e+00 2.514104917e+00 1.887961326e-01
1.743486974e+03 4.292857493e+00 2.515422911e+00 1.864377959e-01
1.749498998e+03 4.293625587e+00 2.516724680e+00 1.841082283e-01
1.755511022e+03 4.294384473e+00 2.518010417e+00 1.818070958e-01
1.761523046e+03 4.295134253e+00 2.519280311e+00 1.795340679e-01
1.767535070e+03 4.295875029e+00 2.520534551e+00 1.772888180e-01
1.773547094e+03 4.296606903e+00 2.521773321e+00 1.750710231e-01
1.779559118e+03 4.297329973e+00 2.522996806e+00 1.728803623e-01
1.785571142e+03 4.298044339e+00 2.524205187e+00 1.707165185e-01
1.791583166e+03 4.298750098e+00 2.525398646e+00 1.685791781e-01
1.797595190e+03 4.299447348e+00 2.526577360e+00 1.664680305e-01
1.803607214e+03 4.300136185e+00 2.527741504e+00 1.643827701e-01
1.809619238e+03 4.300816704e+00 2.528891252e+00 1.623230925e-01
1.815631263e+03 4.301488999e+00 2.530026777e+00 1.602886972e-01
1.821643287e+03 4.302153164e+00 2.531148248e+00 1.582792868e-01
1.827655311e+03 4.302809291e+00 2.532255834e+00 1.562945671e-01
1.833667335e+03 4.303457472e+00 2.533349702e+00 1.543342472e-01
1.839679359e+03 4.304097797e+00 2.534430014e+00 1.523980395e-01
1.845691383e+03 4.304730356e+00 2.535496935e+00 1.504856592e-01
1.851703407e+03 4.305355238e+00 2.536550625e+00 1.485968247e-01
1.857715431e+03 4.305972531e+00 2.537591243e+00 1.467312574e-01
1.863727455e+03 4.306582323e+00 2.538618946e+00 1.448886819e-01
1.869739479e+03 4.307184698e+00 2.539633889e+00 1.430688252e-01
1.875751503e+03 4.307779743e+00 2.540636227e+00 1.412714176e-01
1.881763527e+03 4.308367543e+00 2.541626111e+00 1.394961928e-01
1.887775551e+03 4.308948180e+00 2.542603691e+00 1.377428868e-01
1.893787575e+03 4.309521738e+00 2.543569116e+00 1.360112390e-01
1.899799599e+03 4.310088299e+00 2.544522533e+00 1.343009912e-01
1.905811623e+03 4.310647944e+00 2.545464087e+00 1.326118879e-01
1.911823647e+03 4.311200752e+00 2.546393922e+00 1.309436769e-01
1.917835671e+03 4.311746805e+00 2.547312179e+00 1.292961087e-01
1.923847695e+03 4.312286179e+00 2.548218999e+00 1.276689362e-01
1.929859719e+03 4.312818954e+00 2.549114520e+00 1.260619155e-01
