time            shCj            shCk           
1.005210421e+03 4.512837858e+01 4.579495717e+01
1.007615230e+03 4.514126316e+01 4.580869794e+01
1.010020040e+03 4.515407392e+01 4.582235975e+01
1.012424850e+03 4.516681151e+01 4.583594328e+01
1.014829659e+03 4.517947656e+01 4.584944921e+01
1.017234469e+03 4.519206969e+01 4.586287819e+01
1.019639279e+03 4.520459153e+01 4.587623090e+01
1.022044088e+03 4.521704267e+01 4.588950799e+01
1.024448898e+03 4.522942374e+01 4.590271010e+01
1.026853707e+03 4.524173533e+01 4.591583788e+01
1.029258517e+03 4.525397802e+01 4.592889194e+01
1.031663327e+03 4.526615240e+01 4.594187293e+01
1.034068136e+03 4.527825906e+01 4.595478145e+01
1.036472946e+03 4.529029856e+01 4.596761812e+01
1.038877756e+03 4.530227147e+01 4.598038353e+01
1.041282565e+03 4.531417834e+01 4.599307830e+01
1.043687375e+03 4.532601973e+01 4.600570300e+01
1.046092184e+03 4.533779619e+01 4.601825823e+01
1.048496994e+03 4.534950825e+01 4.603074455e+01
1.050901804e+03 4.536115646e+01 4.604316255e+01
1.053306613e+03 4.537274133e+01 4.605551278e+01
1.055711423e+03 4.538426341e+01 4.606779582e+01
1.058116232e+03 4.539572319e+01 4.608001220e+01
1.060521042e+03 4.540712119e+01 4.609216247e+01
1.062925852e+03 4.541845792e+01 4.610424718e+01
1.065330661e+03 4.542973388e+01 4.611626687e+01
1.067735471e+03 4.544094957e+01 4.612822206e+01
1.070140281e+03 4.545210547e+01 4.614011327e+01
1.072545090e+03 4.546320207e+01 4.615194103e+01
1.074949900e+03 4.547423986e+01 4.616370585e+01
1.077354709e+03 4.548521930e+01 4.617540823e+01
1.079759519e+03 4.549614086e+01 4.618704868e+01
1.082164329e+03 4.550700501e+01 4.619862769e+01
1.084569138e+03 4.551781220e+01 4.621014576e+01
1.086973948e+03 4.552856290e+01 4.622160336e+01
1.089378758e+03 4.553925754e+01 4.623300098e+01
1.091783567e+03 4.554989659e+01 4.624433911e+01
1.094188377e+03 4.556048047e+01 4.625561820e+01
1.096593186e+03 4.557100963e+01 4.626683872e+01
1.098997996e+03 4.558148449e+01 4.627800115e+01
1.101402806e+03 4.559190548e+01 4.628910592e+01
1.103807615e+03 4.560227303e+01 4.630015350e+01
1.106212425e+03 4.561258755e+01 4.631114434e+01
1.108617234e+03 4.562284946e+01 4.632207886e+01
1.111022044e+03 4.563305916e+01 4.633295752e+01
1.113426854e+03 4.564321706e+01 4.634378074e+01
1.115831663e+03 4.565332356e+01 4.635454896e+01
1.118236473e+03 4.566337905e+01 4.636526259e+01
1.120641283e+03 4.567338394e+01 4.637592206e+01
1.123046092e+03 4.568333861e+01 4.638652779e+01
1.125450902e+03 4.569324344e+01 4.639708018e+01
1.127855711e+03 4.570309883e+01 4.640757966e+01
1.130260521e+03 4.571290513e+01 4.641802660e+01
1.132665331e+03 4.572266273e+01 4.642842143e+01
1.135070140e+03 4.573237200e+01 4.643876453e+01
1.137474950e+03 4.574203330e+01 4.644905629e+01
1.139879760e+03 4.575164699e+01 4.645929711e+01
1.142284569e+03 4.576121343e+01 4.646948736e+01
1.144689379e+03 4.577073298e+01 4.647962742e+01
1.147094188e+03 4.578020599e+01 4.648971768e+01
1.149498998e+03 4.578963281e+01 4.649975850e+01
1.151903808e+03 4.579901378e+01 4.650975025e+01
1.154308617e+03 4.580834924e+01 4.651969330e+01
1.156713427e+03 4.581763953e+01 4.652958801e+01
1.159118236e+03 4.582688498e+01 4.653943474e+01
1.161523046e+03 4.583608593e+01 4.654923383e+01
1.163927856e+03 4.584524271e+01 4.655898565e+01
