time            Cj              Ak              Br             
1.485651303e+04 2.872108757e+00 2.330309072e+00 6.609250888e-01
1.489699399e+04 2.789801787e+00 2.414113272e+00 6.560152465e-01
1.493747495e+04 2.706317772e+00 2.497795571e+00 6.526808257e-01
1.497795591e+04 2.622012903e+00 2.581033246e+00 6.509002038e-01
1.501843687e+04 2.537236236e+00 2.663499538e+00 6.506569004e-01
1.505891784e+04 2.452326281e+00 2.744867073e+00 6.519395181e-01
1.509939880e+04 2.367608325e+00 2.824810811e+00 6.547416588e-01
1.513987976e+04 2.283391860e+00 2.903011065e+00 6.590618175e-01
1.518036072e+04 2.199968149e+00 2.979156410e+00 6.649032483e-01
1.522084168e+04 2.117608278e+00 3.052946333e+00 6.722738091e-01
1.526132265e+04 2.036561661e+00 3.124093570e+00 6.811857821e-01
1.530180361e+04 1.957054917e+00 3.192326119e+00 6.916556698e-01
1.534228457e+04 1.879291115e+00 3.257388938e+00 7.037039590e-01
1.538276553e+04 1.803449457e+00 3.319045393e+00 7.173548571e-01
1.542324649e+04 1.729685293e+00 3.377078133e+00 7.326359973e-01
1.546372745e+04 1.658130541e+00 3.431289913e+00 7.495781023e-01
