time            Ak              Br              Cj             
7.379158317e+03 6.282718350e-01 2.454665273e+00 1.747818408e+00
7.399599198e+03 6.211637318e-01 2.427530250e+00 1.756398949e+00
7.420040080e+03 6.142314301e-01 2.400368418e+00 1.764876707e+00
7.440480962e+03 6.074706409e-01 2.373190198e+00 1.773247109e+00
7.460921844e+03 6.008771691e-01 2.346005764e+00 1.781505655e+00
7.481362725e+03 5.944469125e-01 2.318825043e+00 1.789647924e+00
7.501803607e+03 5.881758620e-01 2.291657709e+00 1.797669577e+00
7.522244489e+03 5.820600966e-01 2.264513198e+00 1.805566358e+00
7.542685371e+03 5.760957864e-01 2.237400688e+00 1.813334099e+00
7.563126253e+03 5.702791896e-01 2.210329106e+00 1.820968717e+00
7.583567134e+03 5.646066510e-01 2.183307125e+00 1.828466217e+00
7.604008016e+03 5.590746005e-01 2.156343174e+00 1.835822703e+00
7.624448898e+03 5.536795495e-01 2.129445450e+00 1.843034374e+00
7.644889780e+03 5.484180932e-01 2.102621888e+00 1.850097529e+00
7.665330661e+03 5.432869076e-01 2.075880181e+00 1.857008559e+00
7.685771543e+03 5.382827475e-01 2.049227779e+00 1.863763962e+00
7.706212425e+03 5.334024459e-01 2.022671889e+00 1.870360338e+00
7.726653307e+03 5.286429125e-01 1.996219475e+00 1.876794389e+00
7.747094188e+03 5.240011322e-01 1.969877258e+00 1.883062925e+00
7.767535070e+03 5.194741612e-01 1.943651744e+00 1.889162867e+00
7.787975952e+03 5.150591293e-01 1.917549191e+00 1.895091244e+00
7.808416834e+03 5.107532367e-01 1.891575628e+00 1.900845196e+00
7.828857715e+03 5.065537534e-01 1.865736856e+00 1.906421970e+00
7.849298597e+03 5.024580164e-01 1.840038451e+00 1.911818934e+00
7.869739479e+03 4.984634295e-01 1.814485768e+00 1.917033560e+00
