time            Cj              Br              Ak             
4.617234469e+03 2.202496225e+00 2.904198118e+00 5.618670444e-01
4.631663327e+03 2.248811204e+00 2.860646452e+00 5.600545705e-01
4.646092184e+03 2.295249803e+00 2.816622320e+00 5.586856938e-01
4.660521042e+03 2.341759262e+00 2.772183058e+00 5.577587654e-01
4.674949900e+03 2.388285631e+00 2.727386168e+00 5.572726874e-01
4.689378758e+03 2.434773914e+00 2.682288960e+00 5.572268612e-01
4.703807615e+03 2.481168199e+00 2.636948442e+00 5.576212030e-01
4.718236473e+03 2.527411839e+00 2.591421244e+00 5.584561657e-01
4.732665331e+03 2.573447609e+00 2.545763287e+00 5.597326908e-01
4.747094188e+03 2.619217818e+00 2.500029818e+00 5.614522648e-01
4.761523046e+03 2.664664554e+00 2.454275129e+00 5.636168721e-01
4.775951904e+03 2.709729793e+00 2.408552405e+00 5.662289985e-01
4.790380762e+03 2.754355534e+00 2.362913743e+00 5.692916705e-01
4.804809619e+03 2.798484044e+00 2.317409806e+00 5.728083861e-01
4.819238477e+03 2.842057905e+00 2.272089856e+00 5.767831627e-01
4.833667335e+03 2.885020262e+00 2.227001585e+00 5.812205073e-01
4.848096192e+03 2.927314909e+00 2.182190997e+00 5.861254109e-01
4.862525050e+03 2.968886433e+00 2.137702353e+00 5.915033523e-01
4.876953908e+03 3.009680373e+00 2.093578057e+00 5.973602787e-01
4.891382766e+03 3.049643325e+00 2.049858606e+00 6.037026034e-01
4.905811623e+03 3.088723060e+00 2.006582493e+00 6.105371863e-01
4.920240481e+03 3.126868632e+00 1.963786227e+00 6.178713398e-01
4.934669339e+03 3.164030490e+00 1.921504212e+00 6.257127938e-01
4.949098196e+03 3.200160553e+00 1.879768770e+00 6.340696941e-01
4.963527054e+03 3.235212309e+00 1.838610112e+00 6.429505841e-01
4.977955912e+03 3.269140869e+00 1.798056348e+00 6.523643910e-01
4.992384770e+03 3.301903053e+00 1.758133450e+00 6.623203950e-01
5.006813627e+03 3.333457431e+00 1.718865302e+00 6.728282174e-01
5.021242485e+03 3.363764379e+00 1.680273712e+00 6.838977950e-01
5.035671343e+03 3.392786117e+00 1.642378435e+00 6.955393525e-01
5.050100200e+03 3.420486746e+00 1.605197219e+00 7.077633761e-01
5.064529058e+03 3.446832271e+00 1.568745847e+00 7.205805828e-01
5.078957916e+03 3.471790629e+00 1.533038188e+00 7.340018885e-01
5.093386774e+03 3.495331698e+00 1.498086257e+00 7.480383720e-01
5.107815631e+03 3.517427305e+00 1.463900282e+00 7.627012382e-01
5.122244489e+03 3.538051249e+00 1.430488757e+00 7.780017731e-01
5.136673347e+03 3.557179277e+00 1.397858537e+00 7.939513079e-01
5.151102204e+03 3.574789112e+00 1.366014887e+00 8.105611657e-01
5.165531062e+03 3.590860456e+00 1.334961554e+00 8.278426077e-01
5.179959920e+03 3.605374939e+00 1.304700892e+00 8.458067988e-01
5.194388778e+03 3.618316160e+00 1.275233902e+00 8.644647353e-01
5.208817635e+03 3.629669684e+00 1.246560305e+00 8.838271860e-01
5.223246493e+03 3.639423019e+00 1.218678645e+00 9.039046378e-01
5.237675351e+03 3.647565594e+00 1.191586396e+00 9.247072365e-01
5.252104208e+03 3.654088815e+00 1.165279967e+00 9.462446974e-01
5.266533066e+03 3.658986018e+00 1.139754841e+00 9.685262519e-01
