time            X1              X2              Y1             
4.809619238e+02 2.544214244e+00 1.511051467e+00 1.783994431e-01
4.829659319e+02 2.544816435e+00 1.512027084e+00 1.756236616e-01
4.849699399e+02 2.545409666e+00 1.512987820e+00 1.728900267e-01
4.869739479e+02 2.545994062e+00 1.513933891e+00 1.701979318e-01
4.889779559e+02 2.546569743e+00 1.514865511e+00 1.675467777e-01
4.909819639e+02 2.547136832e+00 1.515782892e+00 1.649359700e-01
4.929859719e+02 2.547695446e+00 1.516686242e+00 1.623649244e-01
4.949899800e+02 2.548245704e+00 1.517575766e+00 1.598330648e-01
4.969939880e+02 2.548787723e+00 1.518451668e+00 1.573398224e-01
4.989979960e+02 2.549321616e+00 1.519314148e+00 1.548846311e-01
5.010020040e+02 2.549847500e+00 1.520163403e+00 1.524669390e-01
5.030060120e+02 2.550365484e+00 1.520999629e+00 1.500861990e-01
5.050100200e+02 2.550875682e+00 1.521823016e+00 1.477418699e-01
5.070140281e+02 2.551378202e+00 1.522633756e+00 1.454334172e-01
5.090180361e+02 2.551873153e+00 1.523432034e+00 1.431603163e-01
5.110220441e+02 2.552360643e+00 1.524218035e+00 1.409220484e-01
5.130260521e+02 2.552840776e+00 1.524991941e+00 1.387181019e-01
5.150300601e+02 2.553313657e+00 1.525753932e+00 1.365479702e-01
5.170340681e+02 2.553779390e+00 1.526504184e+00 1.344111555e-01
5.190380762e+02 2.554238077e+00 1.527242873e+00 1.323071656e-01
5.210420842e+02 2.554689819e+00 1.527970170e+00 1.302355147e-01
5.230460922e+02 2.555134714e+00 1.528686245e+00 1.281957254e-01
5.250501002e+02 2.555572862e+00 1.529391265e+00 1.261873254e-01
5.270541082e+02 2.556004359e+00 1.530085397e+00 1.242098483e-01
5.290581162e+02 2.556429301e+00 1.530768803e+00 1.222628340e-01
5.310621242e+02 2.556847782e+00 1.531441644e+00 1.203458296e-01
5.330661323e+02 2.557259897e+00 1.532104077e+00 1.184583899e-01
5.350701403e+02 2.557665736e+00 1.532756259e+00 1.166000731e-01
5.370741483e+02 2.558065392e+00 1.533398345e+00 1.147704445e-01
5.390781563e+02 2.558458954e+00 1.534030485e+00 1.129690755e-01
5.410821643e+02 2.558846510e+00 1.534652830e+00 1.111955441e-01
5.430861723e+02 2.559228148e+00 1.535265527e+00 1.094494335e-01
5.450901804e+02 2.559603954e+00 1.535868721e+00 1.077303330e-01
5.470941884e+02 2.559974013e+00 1.536462555e+00 1.060378378e-01
5.490981964e+02 2.560338410e+00 1.537047171e+00 1.043715482e-01
5.511022044e+02 2.560697228e+00 1.537622708e+00 1.027310704e-01
5.531062124e+02 2.561050548e+00 1.538189303e+00 1.011160164e-01
5.551102204e+02 2.561398450e+00 1.538747091e+00 9.952600356e-02
5.571142285e+02 2.561741016e+00 1.539296207e+00 9.796065464e-02
5.591182365e+02 2.562078323e+00 1.539836781e+00 9.641959729e-02
5.611222445e+02 2.562410449e+00 1.540368943e+00 9.490246500e-02
5.631262525e+02 2.562737470e+00 1.540892821e+00 9.340889621e-02
5.651302605e+02 2.563059463e+00 1.541408541e+00 9.193853450e-02
5.671342685e+02 2.563376501e+00 1.541916227e+00 9.049102851e-02
5.691382766e+02 2.563688658e+00 1.542416001e+00 8.906603249e-02
5.711422846e+02 2.563996006e+00 1.542907983e+00 8.766320481e-02
5.731462926e+02 2.564298617e+00 1.543392293e+00 8.628220897e-02
