time            sBr             sCj            
4.833667335e+03 2.770477446e+00 6.006777622e-01
4.848096192e+03 2.738380670e+00 6.176877680e-01
4.862525050e+03 2.705799457e+00 6.350346597e-01
4.876953908e+03 2.672745318e+00 6.527168967e-01
4.891382766e+03 2.639230789e+00 6.707324268e-01
4.905811623e+03 2.605269468e+00 6.890786633e-01
4.920240481e+03 2.570875973e+00 7.077524786e-01
4.934669339e+03 2.536065981e+00 7.267501799e-01
4.949098196e+03 2.500856174e+00 7.460675075e-01
4.963527054e+03 2.465264263e+00 7.656996128e-01
4.977955912e+03 2.429308937e+00 7.856410588e-01
4.992384770e+03 2.393009864e+00 8.058858038e-01
5.006813627e+03 2.356387645e+00 8.264272014e-01
5.021242485e+03 2.319463791e+00 8.472579946e-01
5.035671343e+03 2.282260686e+00 8.683703107e-01
5.050100200e+03 2.244801525e+00 8.897556714e-01
5.064529058e+03 2.207110306e+00 9.114049786e-01
5.078957916e+03 2.169211725e+00 9.333085425e-01
5.093386774e+03 2.131131179e+00 9.554560619e-01
5.107815631e+03 2.092894649e+00 9.778366630e-01
5.122244489e+03 2.054528689e+00 1.000438884e+00
5.136673347e+03 2.016060309e+00 1.023250715e+00
5.151102204e+03 1.977516949e+00 1.046259596e+00
5.165531062e+03 1.938926371e+00 1.069452452e+00
5.179959920e+03 1.900316608e+00 1.092815706e+00
5.194388778e+03 1.861715871e+00 1.116335310e+00
5.208817635e+03 1.823152474e+00 1.139996770e+00
5.223246493e+03 1.784654757e+00 1.163785170e+00
5.237675351e+03 1.746250996e+00 1.187685225e+00
5.252104208e+03 1.707969333e+00 1.211681286e+00
5.266533066e+03 1.669837687e+00 1.235757408e+00
5.280961924e+03 1.631883676e+00 1.259897360e+00
5.295390782e+03 1.594134539e+00 1.284084690e+00
5.309819639e+03 1.556617056e+00 1.308302744e+00
5.324248497e+03 1.519357476e+00 1.332534727e+00
5.338677355e+03 1.482381439e+00 1.356763732e+00
5.353106212e+03 1.445713917e+00 1.380972796e+00
5.367535070e+03 1.409379133e+00 1.405144940e+00
5.381963928e+03 1.373400511e+00 1.429263213e+00
5.396392786e+03 1.337800616e+00 1.453310745e+00
5.410821643e+03 1.302601089e+00 1.477270783e+00
5.425250501e+03 1.267822624e+00 1.501126743e+00
5.439679359e+03 1.233484884e+00 1.524862254e+00
5.454108216e+03 1.199606512e+00 1.548461195e+00
5.468537074e+03 1.166205037e+00 1.571907747e+00
5.482965932e+03 1.133296906e+00 1.595186425e+00
5.497394790e+03 1.100897422e+00 1.618282125e+00
5.511823647e+03 1.069020741e+00 1.641180157e+00
5.526252505e+03 1.037679861e+00 1.663866283e+00
5.540681363e+03 1.006886601e+00 1.686326746e+00
5.555110220e+03 9.766516087e-01 1.708548305e+00
5.569539078e+03 9.469843649e-01 1.730518262e+00
5.583967936e+03 9.178931789e-01 1.752224493e+00
5.598396794e+03 8.893852150e-01 1.773655468e+00
5.612825651e+03 8.614665031e-01 1.794800270e+00
5.627254509e+03 8.341419529e-01 1.815648619e+00
5.641683367e+03 8.074153873e-01 1.836190876e+00
5.656112224e+03 7.812895663e-01 1.856418064e+00
5.670541082e+03 7.557662106e-01 1.876321875e+00
5.684969940e+03 7.308460454e-01 1.895894679e+00
5.699398798e+03 7.065288315e-01 1.915129525e+00
5.713827655e+03 6.828134011e-01 1.934020146e+00
5.728256513e+03 6.596977044e-01 1.952560949e+00
5.742685371e+03 6.371788453e-01 1.970747020e+00
5.757114228e+03 6.152531257e-01 1.988574111e+00
5.771543086e+03 5.939160912e-01 2.006038633e+00
5.785971944e+03 5.731625732e-01 2.023137646e+00
5.800400802e+03 5.529867356e-01 2.039868849e+00
5.814829659e+03 5.333821201e-01 2.056230553e+00
5.829258517e+03 5.143416894e-01 2.072221685e+00
5.843687375e+03 4.958578741e-01 2.087841748e+00
5.858116232e+03 4.779226157e-01 2.103090818e+00
5.872545090e+03 4.605274113e-01 2.117969506e+00
5.886973948e+03 4.436633554e-01 2.132478954e+00
5.901402806e+03 4.273211827e-01 2.146620799e+00
5.915831663e+03 4.114913065e-01 2.160397153e+00
5.930260521e+03 3.961638624e-01 2.173810581e+00
5.944689379e+03 3.813287377e-01 2.186864071e+00
5.959118236e+03 3.669756212e-01 2.199561017e+00
5.973547094e+03 3.530940211e-01 2.211905183e+00
5.987975952e+03 3.396733164e-01 2.223900685e+00
6.002404810e+03 3.267027705e-01 2.235551965e+00
6.016833667e+03 3.141715787e-01 2.246863761e+00
6.031262525e+03 3.020688800e-01 2.257841088e+00
6.045691383e+03 2.903837986e-01 2.268489208e+00
6.060120240e+03 2.791054558e-01 2.278813612e+00
6.074549098e+03 2.682230036e-01 2.288819990e+00
6.088977956e+03 2.577256397e-01 2.298514213e+00
6.103406814e+03 2.476026293e-01 2.307902308e+00
6.117835671e+03 2.378433272e-01 2.316990439e+00
6.132264529e+03 2.284371848e-01 2.325784886e+00
6.146693387e+03 2.193737813e-01 2.334292021e+00
6.161122244e+03 2.106428181e-01 2.342518296e+00
6.175551102e+03 2.022341519e-01 2.350470217e+00
6.189979960e+03 1.941377865e-01 2.358154340e+00
6.204408818e+03 1.863439004e-01 2.365577237e+00
6.218837675e+03 1.788428395e-01 2.372745495e+00
6.233266533e+03 1.716251388e-01 2.379665696e+00
6.247695391e+03 1.646815180e-01 2.386344405e+00
6.262124248e+03 1.580028950e-01 2.392788156e+00
6.276553106e+03 1.515803858e-01 2.399003443e+00
6.290981964e+03 1.454053098e-01 2.404996708e+00
6.305410822e+03 1.394691944e-01 2.410774330e+00
6.319839679e+03 1.337637719e-01 2.416342619e+00
6.334268537e+03 1.282809894e-01 2.421707803e+00
6.348697395e+03 1.230129994e-01 2.426876029e+00
6.363126253e+03 1.179521699e-01 2.431853343e+00
6.377555110e+03 1.130910750e-01 2.436645699e+00
6.391983968e+03 1.084225020e-01 2.441258945e+00
6.406412826e+03 1.039394432e-01 2.445698819e+00
6.420841683e+03 9.963509980e-02 2.449970947e+00
6.435270541e+03 9.550287517e-02 2.454080841e+00
6.449699399e+03 9.153637565e-02 2.458033890e+00
6.464128257e+03 8.772940572e-02 2.461835366e+00
6.478557114e+03 8.407596578e-02 2.465490416e+00
6.492985972e+03 8.057024911e-02 2.469004062e+00
6.507414830e+03 7.720663704e-02 2.472381203e+00
6.521843687e+03 7.397969746e-02 2.475626609e+00
6.536272545e+03 7.088417793e-02 2.478744928e+00
6.550701403e+03 6.791500590e-02 2.481740679e+00
6.565130261e+03 6.506728030e-02 2.484618256e+00
6.579559118e+03 6.233627096e-02 2.487381928e+00
6.593987976e+03 5.971741250e-02 2.490035840e+00
6.608416834e+03 5.720629990e-02 2.492584016e+00
6.622845691e+03 5.479868599e-02 2.495030355e+00
6.637274549e+03 5.249047483e-02 2.497378643e+00
6.651703407e+03 5.027771961e-02 2.499632540e+00
6.666132265e+03 4.815661702e-02 2.501795597e+00
6.680561122e+03 4.612350360e-02 2.503871246e+00
6.694989980e+03 4.417485170e-02 2.505862812e+00
6.709418838e+03 4.230726490e-02 2.507773505e+00
6.723847695e+03 4.051747447e-02 2.509606432e+00
6.738276553e+03 3.880233501e-02 2.511364593e+00
6.752705411e+03 3.715881980e-02 2.513050883e+00
6.767134269e+03 3.558401936e-02 2.514668103e+00
6.781563126e+03 3.407513395e-02 2.516218950e+00
6.795991984e+03 3.262947223e-02 2.517706028e+00
6.810420842e+03 3.124444880e-02 2.519131850e+00
6.824849699e+03 2.991757623e-02 2.520498839e+00
6.839278557e+03 2.864646628e-02 2.521809327e+00
6.853707415e+03 2.742882441e-02 2.523065565e+00
6.868136273e+03 2.626244443e-02 2.524269718e+00
6.882565130e+03 2.514521127e-02 2.525423874e+00
6.896993988e+03 2.407509024e-02 2.526530041e+00
6.911422846e+03 2.305012863e-02 2.527590153e+00
6.925851703e+03 2.206845406e-02 2.528606071e+00
6.940280561e+03 2.112826585e-02 2.529579583e+00
6.954709419e+03 2.022783798e-02 2.530512413e+00
6.969138277e+03 1.936551405e-02 2.531406216e+00
6.983567134e+03 1.853970239e-02 2.532262584e+00
6.997995992e+03 1.774887983e-02 2.533083048e+00
7.012424850e+03 1.699158147e-02 2.533869077e+00
7.026853707e+03 1.626640299e-02 2.534622088e+00
7.041282565e+03 1.557199970e-02 2.535343435e+00
7.055711423e+03 1.490707861e-02 2.536034426e+00
7.070140281e+03 1.427040191e-02 2.536696312e+00
7.084569138e+03 1.366078272e-02 2.537330297e+00
7.098997996e+03 1.307708092e-02 2.537937537e+00
7.113426854e+03 1.251820694e-02 2.538519140e+00
7.127855711e+03 1.198311305e-02 2.539076171e+00
7.142284569e+03 1.147079565e-02 2.539609654e+00
7.156713427e+03 1.098029469e-02 2.540120567e+00
7.171142285e+03 1.051068716e-02 2.540609853e+00
7.185571142e+03 1.006109021e-02 2.541078415e+00
7.200000000e+03 9.630657809e-03 2.541527119e+00
