time            HelperCCj       sHelperCCj      dispC          
7.624448898e+04 9.065168509e+01 1.297930255e+02 1.947361850e+01
7.644889780e+04 9.062360373e+01 1.297447253e+02 1.950683718e+01
7.665330661e+04 9.059559199e+01 1.296964428e+02 1.953982127e+01
7.685771543e+04 9.056764808e+01 1.296481780e+02 1.957257289e+01
7.706212425e+04 9.053977025e+01 1.295999305e+02 1.960509437e+01
7.726653307e+04 9.051195679e+01 1.295517001e+02 1.963738822e+01
7.747094188e+04 9.048420603e+01 1.295034867e+02 1.966945719e+01
7.767535070e+04 9.045651637e+01 1.294552900e+02 1.970130417e+01
7.787975952e+04 9.042888621e+01 1.294071098e+02 1.973293226e+01
7.808416834e+04 9.040131403e+01 1.293589459e+02 1.976434472e+01
7.828857715e+04 9.037379834e+01 1.293107981e+02 1.979554499e+01
